time_s,position_error_m,momentum_error
1.698749588674177e-05,3.659234004214486e-05,3.984016088036501e-06
1.7028627838041315e-05,4.871652909359693e-05,5.02150644632806e-06
1.706975978934086e-05,3.351566030506286e-05,2.2524993676481318e-05
1.7110891740640406e-05,4.58391870491236e-05,2.4481435101825207e-05
1.715202369193995e-05,3.251365453676349e-05,5.506023261873691e-06
1.7193155643239497e-05,4.6725873096863834e-05,4.37876620978305e-06
1.7234287594539042e-05,3.560731771420078e-05,7.630251404453113e-06
1.7275419545838588e-05,4.3960535640463054e-05,2.2316572328128078e-05
1.7316551497138133e-05,3.614518101865778e-05,1.3401132429531477e-05
1.735768344843768e-05,4.162310473243581e-05,1.3723649377603895e-06
1.7398815399737224e-05,4.415017609970181e-05,3.090355721869044e-06
1.743994735103677e-05,3.629663207350983e-05,2.2533010595889474e-05
1.7481079302336315e-05,4.35741602686199e-05,2.5897022180768764e-05
1.752221125363586e-05,3.561635664048735e-05,4.268602646105091e-06
1.7563343204935406e-05,4.58153584022746e-05,4.3926605718651795e-06
1.760447515623495e-05,3.486052462685496e-05,9.094044909831938e-06
1.7645607107534497e-05,4.4921610511259635e-05,2.3756174779032766e-05
1.7686739058834042e-05,3.368772947113572e-05,1.3833647734573273e-05
1.7727871010133588e-05,4.445392067148537e-05,2.068460900337012e-06
1.7769002961433133e-05,4.1126089118642864e-05,1.4086766036375353e-06
1.781013491273268e-05,4.007657354538765e-05,2.2572840915195394e-05
1.7851266864032224e-05,4.086199889404915e-05,2.661575891704635e-05
1.789239881533177e-05,3.787836779456018e-05,3.223250288753504e-06
1.7933530766631315e-05,4.617912713259672e-05,4.9730193905733506e-06
1.797466271793086e-05,3.232525312077784e-05,1.0577622358375732e-05
1.8015794669230406e-05,4.5124556195447016e-05,2.458010579686556e-05
1.805692662052995e-05,3.1455904973905183e-05,1.3061309046010538e-05
1.8098058571829497e-05,4.5288019616596105e-05,3.9895028297518625e-06
1.8139190523129042e-05,3.6930772468814805e-05,1.6143735991904276e-06
1.8180322474428588e-05,4.138611476194789e-05,2.206664070087105e-05
1.8221454425728133e-05,3.906675904347311e-05,2.715475260865376e-05
1.826258637702768e-05,3.9010858756440905e-05,2.653956078162848e-06
1.8303718328327224e-05,4.5021522006844896e-05,4.642479145562298e-06
1.834485027962677e-05,3.2948647127385956e-05,1.1760886727892201e-05
1.8385982230926315e-05,4.504993618508368e-05,2.502863526771061e-05
1.842711418222586e-05,3.0977796201687885e-05,1.2269995034354896e-05
1.8468246133525406e-05,4.60650386943523e-05,5.310944073804691e-06
1.850937808482495e-05,3.5496752460512946e-05,2.3617555145225166e-06
1.8550510036124497e-05,4.353442899933846e-05,2.2830880429743413e-05
1.8591641987424042e-05,3.831962205120526e-05,2.78504910478408e-05
1.8632773938723588e-05,4.0896191584267733e-05,2.1483970924048073e-06
1.8673905890023133e-05,4.617555424170457e-05,4.746893809434416e-06
1.871503784132268e-05,3.468573738028219e-05,1.3815072565677321e-05
1.8756169792622224e-05,4.7662962662561094e-05,2.6906513732953973e-05
1.879730174392177e-05,3.4814119343585655e-05,1.2360369043153963e-05
1.8838433695221315e-05,4.9212645548378414e-05,4.483465864264201e-06
1.887956564652086e-05,4.074179679974277e-05,1.8635727293079567e-06
1.8920697597820406e-05,4.588846871767043e-05,2.55015867819886e-05
1.896182954911995e-05,4.358412268382454e-05,3.0248942920103975e-05
