time_s,position_error_m,momentum_error
6.087528792347476e-06,1.1116073446559773e-05,2.1534856560955317e-07
6.1080947679972485e-06,1.0383630596823498e-05,5.33731526878617e-06
6.128660743647021e-06,1.0917261572353149e-05,3.314844528840099e-07
6.149226719296794e-06,1.1509681243031532e-05,3.4235680700233565e-07
6.169792694946567e-06,1.189165740786048e-05,5.646321096173813e-06
6.190358670596339e-06,1.0908785345580767e-05,2.3673962730261055e-07
6.210924646246112e-06,1.0128396168186552e-05,5.282249269970751e-06
6.231490621895885e-06,1.1163590395259341e-05,5.562436191896219e-07
6.252056597545658e-06,1.1707882816989659e-05,2.245228423400733e-07
6.27262257319543e-06,1.1824374088855654e-05,5.66435456400128e-06
6.293188548845203e-06,1.0992941104943454e-05,2.5123525976250713e-07
6.313754524494976e-06,1.0339396567413433e-05,4.8529284696661e-06
6.3343205001447485e-06,1.1380399967060207e-05,2.1702622229367098e-06
6.354886475794521e-06,1.1817260490334676e-05,2.9826999979690096e-07
6.375452451444294e-06,1.158005036261289e-05,5.568619067758026e-06
6.396018427094067e-06,1.060563276949982e-05,3.5343070435211585e-07
6.416584402743839e-06,1.039966097206117e-05,1.4355981014152177e-06
6.437150378393612e-06,1.177258736206127e-05,5.579979848753876e-06
6.457716354043385e-06,1.1808534126453366e-05,3.124695576393144e-07
6.478282329693158e-06,1.110637146670874e-05,5.449489401002903e-06
6.49884830534293e-06,1.054478104580804e-05,4.5913846415021167e-07
6.519414280992703e-06,1.0799862646698516e-05,5.392040935433852e-07
6.539980256642476e-06,1.1982483018510739e-05,5.734070230234529e-06
6.5605462322922485e-06,1.1771362873610054e-05,2.5519345531752474e-07
6.581112207942021e-06,1.0894371256584356e-05,5.473705975316968e-06
6.601678183591794e-06,1.0895695562020538e-05,7.36677422863995e-07
6.622244159241567e-06,1.1498653642939276e-05,2.457525802576976e-07
6.642810134891339e-06,1.2354594151903672e-05,5.942849685713438e-06
6.663376110541112e-06,1.176389010022993e-05,2.247926659770491e-07
6.683942086190885e-06,1.076505697762145e-05,4.885402568568942e-06
6.704508061840658e-06,1.1349038980364632e-05,2.425170347524661e-06
6.72507403749043e-06,1.1946917462834949e-05,2.6471040898619653e-07
6.745640013140203e-06,1.2227547404475091e-05,5.917347696164777e-06
6.766205988789976e-06,1.1608584035658983e-05,2.787258674788514e-07
6.7867719644397485e-06,1.1068939290542038e-05,1.4387848745258356e-06
6.807337940089521e-06,1.2049361834188272e-05,5.891381450776328e-06
6.827903915739294e-06,1.2612436223902844e-05,3.215121281532441e-07
6.848469891389067e-06,1.2507983229357982e-05,6.040949375822809e-06
6.869035867038839e-06,1.1646173668917443e-05,4.5964669247062726e-07
6.889601842688612e-06,1.127867647278498e-05,6.58244379280942e-07
6.910167818338385e-06,1.2388823317159622e-05,6.115401100350437e-06
6.930733793988158e-06,1.2700820122482545e-05,3.2323890920982027e-07
6.95129976963793e-06,1.2267873424741643e-05,5.9752204192216825e-06
6.971865745287703e-06,1.165841172719282e-05,8.441857144361762e-07
6.992431720937476e-06,1.1721093721296545e-05,3.54767642578263e-07
7.0129976965872485e-06,1.2761347701852411e-05,6.290289844053611e-06
7.033563672237021e-06,1.2892101114107248e-05,2.690551395851531e-07
7.054129647886794e-06,1.1962436814863914e-05,5.057294726784906e-06
7.074695623536567e-06,1.1672870883654092e-05,2.8566338615054832e-06
7.095261599186339e-06,1.2059929518052686e-05,2.508264289726814e-07
7.115827574836112e-06,1.2753690651260494e-05,6.260627233351727e-06
7.136393550485885e-06,1.2342005587050912e-05,2.5542654899303435e-07
7.156959526135658e-06,1.140435294850489e-05,1.3844760497571006e-06
7.17752550178543e-06,1.1900484218904832e-05,5.99905368884842e-06
7.198091477435203e-06,1.2691177573706291e-05,3.505003247529192e-07
7.218657453084976e-06,1.2844865001424878e-05,6.159602233160789e-06
7.2392234287347485e-06,1.1824693999962794e-05,4.818666122641096e-07
7.259789404384521e-06,1.1125168006096742e-05,6.999603260852687e-07
7.280355380034294e-06,1.2128480989661045e-05,6.111718368409164e-06
7.300921355684067e-06,1.291992963308873e-05,3.828582049171127e-07
7.321487331333839e-06,1.2739134827345531e-05,6.1016178840869905e-06
7.342053306983612e-06,1.163844168795093e-05,9.223551004060104e-07
7.362619282633385e-06,1.1205179893954266e-05,4.999647020224533e-07
7.383185258283158e-06,1.248020942226688e-05,6.291245985489724e-06
7.40375123393293e-06,1.304130595955252e-05,3.8340203352643306e-07
7.424317209582703e-06,1.2393378191895528e-05,4.97895771580567e-06
7.444883185232476e-06,1.1685353820858372e-05,3.196153310221446e-06
7.4654491608822485e-06,1.1894800814685686e-05,2.9118719668571546e-07
7.486015136532021e-06,1.2853526803926693e-05,6.417758468940461e-06
7.506581112181794e-06,1.3045753387422165e-05,2.76627230808192e-07
7.527147087831567e-06,1.203322631492242e-05,1.2680227007901233e-06
7.547713063481339e-06,1.1957878192980171e-05,6.171021847699678e-06
7.568279039131112e-06,1.2851310943464151e-05,3.138303014372901e-07
7.588845014780885e-06,1.3541803190772907e-05,6.589772946132925e-06
7.609410990430658e-06,1.2775018350572976e-05,4.196973753108546e-07
7.62997696608043e-06,1.1564495861136368e-05,7.787949543579164e-07
7.650542941730203e-06,1.2499910784463751e-05,6.458113090067944e-06
7.671108917379976e-06,1.368063200478993e-05,5.094976362029955e-07
7.691674893029748e-06,1.3509167765677976e-05,6.369929639080955e-06
7.712240868679521e-06,1.2054422734183525e-05,1.1081457289190313e-06
7.732806844329294e-06,1.1625041687695703e-05,5.56556283850157e-07
7.753372819979067e-06,1.327426886487153e-05,6.722135599094218e-06
7.77393879562884e-06,1.4082233334228366e-05,4.6373504251573116e-07
7.794504771278612e-06,1.3296992746324226e-05,5.140418841376306e-06
7.815070746928385e-06,1.231701438617182e-05,3.900297487964282e-06
7.835636722578158e-06,1.251963385416001e-05,3.299599774349763e-07
7.85620269822793e-06,1.3789174948855844e-05,6.94243943812032e-06
7.876768673877703e-06,1.3925621894305692e-05,3.2840186845020177e-07
7.897334649527476e-06,1.276025540606121e-05,1.2651645436092503e-06
7.917900625177248e-06,1.2297198759037353e-05,6.459925490983136e-06
7.938466600827021e-06,1.3206694063851226e-05,3.20991860302583e-07
7.959032576476794e-06,1.3986821994185273e-05,6.8676918397422525e-06
7.979598552126567e-06,1.3455966300142647e-05,4.39649376862093e-07
8.00016452777634e-06,1.2332575059010494e-05,7.002215401117792e-07
8.020730503426112e-06,1.2961551650332055e-05,6.746833604206373e-06
8.041296479075885e-06,1.4002905122832166e-05,4.6586690714481895e-07
8.061862454725658e-06,1.3917571622108611e-05,6.699781283308605e-06
8.08242843037543e-06,1.2687920884801081e-05,1.1236474145210567e-06
8.102994406025203e-06,1.2068217592144881e-05,5.308319521335006e-07
8.123560381674976e-06,1.3292861488020832e-05,6.859422816022792e-06
8.144126357324748e-06,1.4086091919840385e-05,4.553602001343206e-07
8.164692332974521e-06,1.3422689689408961e-05,4.962938870898343e-06
8.185258308624294e-06,1.2403553899732058e-05,4.494598882893931e-06
8.205824284274067e-06,1.2468877703769012e-05,3.52460663813539e-07
8.22639025992384e-06,1.3543383500243738e-05,6.895820646077972e-06
8.246956235573612e-06,1.3887211070066625e-05,3.4652412388083696e-07
8.267522211223385e-06,1.2921660718651036e-05,1.2129553086147275e-06
8.288088186873158e-06,1.2786892469609307e-05,6.705849389576728e-06
8.30865416252293e-06,1.3520084827811307e-05,3.598614382354857e-07
